risk_decile,n,events,observed_event_rate,mean_predicted_risk,dataset,observed_expected_ratio
1,1092,9,0.008241758241758242,0.01465499215699756,charls_train,0.56238571494717
2,1092,18,0.016483516483516484,0.02028427959084706,charls_train,0.8126251864007235
3,1092,17,0.015567765567765568,0.026779574184538097,charls_train,0.5813298396937929
4,1092,37,0.03388278388278388,0.034778989072928805,charls_train,0.9742314191977907
5,1093,43,0.039341262580054895,0.04730383153370279,charls_train,0.8316717970726163
6,1096,75,0.06843065693430657,0.0676475276945433,charls_train,1.0115766128704573
7,1087,139,0.12787488500459981,0.1173832466040258,charls_train,1.0893793510070984
8,1092,209,0.19139194139194138,0.20711610154196242,charls_train,0.9240804551990118
9,1092,317,0.2902930402930403,0.2924779655179109,charls_train,0.9925296074150352
10,1092,506,0.4633699633699634,0.42654297801384233,charls_train,1.0863382759871056
1,275,1,0.0036363636363636364,0.014924724312418272,charls_heldout,0.24364695522971652
2,272,5,0.01838235294117647,0.02127819981474722,charls_heldout,0.8639054572857365
3,273,7,0.02564102564102564,0.02779139341027431,charls_heldout,0.9226246868048837
4,273,8,0.029304029304029304,0.03573098669048365,charls_heldout,0.8201293056324678
5,273,13,0.047619047619047616,0.04820576909984939,charls_heldout,0.987828811950153
6,273,28,0.10256410256410256,0.06762725663818311,charls_heldout,1.516608948265302
7,272,29,0.10661764705882353,0.11868458646376723,charls_heldout,0.8983276618769062
8,274,58,0.2116788321167883,0.21188511475506214,charls_heldout,0.9990264411045945
9,273,77,0.28205128205128205,0.29976826093672165,charls_heldout,0.9408977493812145
10,273,117,0.42857142857142855,0.43752726193828184,charls_heldout,0.9795307992302509
1,1276,12,0.009404388714733543,0.014037885928848585,cfps_external_main,0.669929130525775
2,1274,25,0.019623233908948195,0.017958576088132432,cfps_external_main,1.0926943100971027
3,1276,22,0.017241379310344827,0.02208740640096732,cfps_external_main,0.7805977305506426
4,1282,31,0.02418096723868955,0.02695174588432907,cfps_external_main,0.8971948363741966
5,1267,59,0.04656669297553275,0.03327735130796982,cfps_external_main,1.3993509442676162
6,1276,78,0.061128526645768025,0.043055976038392646,cfps_external_main,1.4197454632374433
7,1273,78,0.061272584446190104,0.059386687790982585,cfps_external_main,1.031756218865836
8,1282,150,0.11700468018720749,0.10788066099190737,cfps_external_main,1.0845751139398798
9,1268,273,0.21529968454258674,0.21660719898837538,cfps_external_main,0.9939636611714886
10,1275,390,0.3058823529411765,0.3514921271217898,cfps_external_main,0.8702395568455796
