risk_decile,n,events,observed_event_rate,mean_predicted_risk,dataset,observed_event_rate_ci_low,observed_event_rate_ci_high
1,275,1,0.0036363636363636364,0.014924724312418272,charls_heldout,0.0,0.011908347676419946
2,272,5,0.01838235294117647,0.02127819981474722,charls_heldout,0.0037174721189591076,0.035858852173007306
3,273,7,0.02564102564102564,0.02779139341027431,charls_heldout,0.010031778130868122,0.04516433353621422
4,273,8,0.029304029304029304,0.03573098669048365,charls_heldout,0.011194029850746268,0.05226823182143236
5,273,13,0.047619047619047616,0.04820576909984939,charls_heldout,0.02428765880217786,0.07554183543921164
6,273,28,0.10256410256410256,0.06762725663818311,charls_heldout,0.06741573033707865,0.14127640331011687
7,272,29,0.10661764705882353,0.11868458646376723,charls_heldout,0.07196290737564323,0.14343712867826933
8,274,58,0.2116788321167883,0.21188511475506214,charls_heldout,0.16546555063641394,0.25925925925925924
9,273,77,0.28205128205128205,0.29976826093672165,charls_heldout,0.22726005407232172,0.3389305287847472
10,273,117,0.42857142857142855,0.43752726193828184,charls_heldout,0.36758648863810944,0.48548053673243974
1,1276,12,0.009404388714733543,0.014037885928848585,cfps_external,0.004769380650098306,0.015279007821954203
2,1274,25,0.019623233908948195,0.017958576088132432,cfps_external,0.012402860591212869,0.02782304714793474
3,1276,22,0.017241379310344827,0.02208740640096732,cfps_external,0.010686819105513536,0.024982395587160505
4,1282,31,0.02418096723868955,0.02695174588432907,cfps_external,0.01611574193085924,0.0326437145248685
5,1267,59,0.04656669297553275,0.03327735130796982,cfps_external,0.03509886895475819,0.0582053354890865
6,1276,78,0.061128526645768025,0.043055976038392646,cfps_external,0.04765655050388492,0.07427577335375189
7,1273,78,0.061272584446190104,0.059386687790982585,cfps_external,0.04856531816239207,0.07523109489294898
8,1282,150,0.11700468018720749,0.10788066099190737,cfps_external,0.09861325115562404,0.13546428180653794
9,1268,273,0.21529968454258674,0.21660719898837538,cfps_external,0.19446585419411505,0.23844266366719574
10,1275,390,0.3058823529411765,0.3514921271217898,cfps_external,0.28204976303317536,0.3314760800390058
