model,dataset,n,events,event_rate,auroc,auprc,threshold,sensitivity,specificity,precision,f1,cohen_kappa,auroc_bootstrap_mean,auroc_ci_low,auroc_ci_high,auprc_bootstrap_mean,auprc_ci_low,auprc_ci_high,precision_bootstrap_mean,precision_ci_low,precision_ci_high,recall_bootstrap_mean,recall_ci_low,recall_ci_high,f1_bootstrap_mean,f1_ci_low,f1_ci_high,sensitivity_bootstrap_mean,sensitivity_ci_low,sensitivity_ci_high,specificity_bootstrap_mean,specificity_ci_low,specificity_ci_high
LASSO Classifier,charls_heldout,2731,343,0.12559502013914317,0.8093113770992965,0.34906133004231654,0.1412747197683195,0.7784256559766763,0.7139865996649917,0.2810526315789474,0.41299303944315546,0.28013848319298984,0.8090314193582622,0.769495246329219,0.8446790941139806,0.35483092780259917,0.2808590027721749,0.4374257383456763,0.28036587630370274,0.23403291286066405,0.3318771618703141,0.7791523047745831,0.705420054200542,0.8547732285635511,0.41183959676698617,0.3548485473510519,0.46870477879143185,0.7791523047745831,0.705420054200542,0.8547732285635511,0.7141796492750925,0.6822792012741566,0.7429200940070505
LASSO Classifier,cfps_external_main,12749,1118,0.08769315240411013,0.7950246772819969,0.26928327128910734,0.1412747197683195,0.6457960644007156,0.8079270913936892,0.2442489851150203,0.3544428080510555,0.2603130257991375,0.7931130362127201,0.7447849559829006,0.8425036659847674,0.2782713323063365,0.20276155198971899,0.3667079907354945,0.24176682950438483,0.183974358974359,0.2961962669683257,0.642847148393244,0.5470376522702104,0.7473092998955068,0.35068107610171706,0.2793985326688815,0.4121921161475479,0.642847148393244,0.5470376522702104,0.7473092998955068,0.8082890449732025,0.7832279116465863,0.8352934408831943
MLP,charls_heldout,2731,343,0.12559502013914317,0.8081552075245029,0.3463427095294972,0.10620049996087556,0.7696793002915452,0.7194304857621441,0.2826552462526767,0.413469068128426,0.28145792255976354,0.8078552769931098,0.7695601340403594,0.8423007517450962,0.35250708382257345,0.27705987680325583,0.43839346492807885,0.2820110596377718,0.2352161558222191,0.33382490636704115,0.7698822027236137,0.6947794022512616,0.8446836890243903,0.41227499591016453,0.3559214897552391,0.4694068912633983,0.7698822027236137,0.6947794022512616,0.8446836890243903,0.7198918276392713,0.6892010825555129,0.7501489784335982
MLP,cfps_external_main,12749,1118,0.08769315240411013,0.7960994683106601,0.27257434663518326,0.10620049996087556,0.6350626118067979,0.8123119250279426,0.24541997926028344,0.3540264273248566,0.2604765062805968,0.7942216044342691,0.7468426154858356,0.8420308752894833,0.28147334118947515,0.19662617511217567,0.36429759927412864,0.24289663223056607,0.18584070796460178,0.29769235762506485,0.631390947361926,0.5293942307692308,0.7353032820938928,0.35011864123232317,0.2798642903858731,0.4115878629932986,0.631390947361926,0.5293942307692308,0.7353032820938928,0.8128278770417783,0.7847547939880798,0.8378445246022937
Random Forest,charls_heldout,2731,343,0.12559502013914317,0.8101690424913683,0.37619707349051895,0.16792641466926406,0.7230320699708455,0.7621440536013401,0.30392156862745096,0.42795513373597927,0.305052518698284,0.8095965954863785,0.7724303667520942,0.8438573871257875,0.38040146582471407,0.2986922688529742,0.4672647868605156,0.3027595044276053,0.2503868078175896,0.36000472349393214,0.7232031821276347,0.6404810855263158,0.8007720588235294,0.4262375549415547,0.36508199203876773,0.48979970688812896,0.7232031821276347,0.6404810855263158,0.8007720588235294,0.7619435445035823,0.7337209393041035,0.7903758872508871
Random Forest,cfps_external_main,12749,1118,0.08769315240411013,0.7900432715666863,0.2619088052988623,0.16792641466926406,0.5930232558139535,0.8311409165162067,0.25237913970308334,0.3540720961281709,0.2634566479408331,0.788285878562538,0.7383116626875231,0.8392598906664539,0.27190936159719253,0.19502292124285547,0.352843247133657,0.2497705560532343,0.1914831417967178,0.30788370397375137,0.590377270997167,0.4819871794871795,0.691278439869989,0.3502354169562508,0.28021900960189877,0.41465277777777776,0.590377270997167,0.4819871794871795,0.691278439869989,0.8313344047696555,0.8055585980284775,0.8555190959524787
GBC,charls_heldout,2731,343,0.12559502013914317,0.8151959994335135,0.38515969098032815,0.1475610065875121,0.7521865889212828,0.7458123953098827,0.29826589595375724,0.4271523178807947,0.30151852155741776,0.814697876644997,0.7768685377625807,0.8469183328013236,0.38918419903034807,0.30309018515870756,0.474352165948066,0.2976803719679187,0.2491745283018868,0.34946197292823056,0.7527820950685109,0.6742377260981912,0.8320001282955931,0.42607337432406683,0.3700977706603734,0.48701923076923076,0.7527820950685109,0.6742377260981912,0.8320001282955931,0.7461450364001284,0.7166355925151601,0.7738358773594853
GBC,cfps_external_main,12749,1118,0.08769315240411013,0.7951942475609179,0.26750124135864184,0.1475610065875121,0.6118067978533095,0.8268420600120368,0.2535211267605634,0.3584905660377358,0.26768148713522455,0.7939809160778512,0.7474611195636676,0.8430942165712355,0.27692365644903233,0.19563914561122525,0.3670095229456579,0.2512968919752727,0.19425329175329176,0.3119667549279199,0.6097692958416177,0.5056787330316742,0.7117885334441213,0.35514963732973037,0.2862007168458781,0.422573411806521,0.6097692958416177,0.5056787330316742,0.7117885334441213,0.8272080020680346,0.8002903675131254,0.8513001034093298
HistGBC,charls_heldout,2731,343,0.12559502013914317,0.8058178404168559,0.3848847058599163,0.18018005034238452,0.6938775510204082,0.7780569514237856,0.3098958333333333,0.42844284428442847,0.30834369975906284,0.8052744873998491,0.767116489832007,0.840953477065293,0.38791558903849893,0.3057279106734409,0.47251320602173286,0.3087823637158044,0.2548869503293573,0.3644714234038705,0.6924605284016674,0.6098429951690821,0.7725179388840777,0.42649621147289185,0.363614285182566,0.4908721221221221,0.6924605284016674,0.6098429951690821,0.7725179388840777,0.7784290678104271,0.7501341807909605,0.8042599135203543
HistGBC,cfps_external_main,12749,1118,0.08769315240411013,0.7920076721130641,0.265072758697607,0.18018005034238452,0.5420393559928444,0.8552145129395581,0.2646288209606987,0.35563380281690143,0.26954985985236124,0.7904371775293446,0.7420877118212813,0.8412320336096597,0.273692323950518,0.19745154484143493,0.351620260379705,0.26243261768759796,0.2,0.32432432432432434,0.5399129758424998,0.4312885802469136,0.6504166666666666,0.3523061671174099,0.27586206896551724,0.4241494435612082,0.5399129758424998,0.4312885802469136,0.6504166666666666,0.8557212773395088,0.8323307161094398,0.8790319341883663
