dataset,group_type,group,n,events,event_rate,mean_predicted_risk,observed_expected_ratio,brier,auroc,auprc,model_probability_cutoff,sensitivity,specificity,ppv,npv,f1,accuracy,tn,fp,fn,tp,small_cell_flag
cfps_external_main,overall,overall,12749,1118,0.08769315240411013,0.08921026888792145,0.9829939254446443,0.07139586371462986,0.7951942475609179,0.26750124135864184,0.1475,0.6118067978533095,0.8267560828819533,0.2534271952575028,0.95681592039801,0.3583966465810846,0.807906502470782,9616,2015,434,684,
cfps_external_main,age_fixed,45-59,8264,506,0.06122942884801549,0.07115150743486297,0.8605499877015138,0.05221822056058666,0.7978626168881389,0.2195227575656451,0.1475,0.5790513833992095,0.8645269399329724,0.21800595238095238,0.9692196531791908,0.31675675675675674,0.8470474346563408,6707,1051,213,293,
cfps_external_main,age_fixed,60-69,3152,390,0.12373096446700507,0.09921516779340857,1.2470972656584596,0.09690108110611596,0.7719076663138935,0.30611799133154655,0.1475,0.6307692307692307,0.782404055032585,0.29043683589138136,0.937527114967462,0.39773645917542444,0.7636421319796954,2161,601,144,246,
cfps_external_main,age_fixed,70+,1333,222,0.16654163540885222,0.1775089660356933,0.9382153427414153,0.12997920790596423,0.7213795703894713,0.3305516768700788,0.1475,0.6531531531531531,0.6732673267326733,0.2854330708661417,0.9066666666666666,0.3972602739726027,0.6699174793698425,748,363,77,145,
cfps_external_main,education,1.illiterate,2975,709,0.23831932773109243,0.2581911392873013,0.9230344944793145,0.17748702259710247,0.6169582981138981,0.3224075110786785,0.1475,0.9365303244005642,0.14518976169461606,0.2552864282968089,0.8796791443850267,0.4012084592145015,0.333781512605042,329,1937,45,664,
cfps_external_main,education,2.primary school,3162,215,0.06799493991144845,0.06093927416101723,1.1157819131843996,0.06257002979918734,0.5998192880422345,0.11606149990596244,0.1475,0.06511627906976744,0.9816762809636919,0.20588235294117646,0.9350355526826115,0.0989399293286219,0.9193548387096774,2893,54,201,14,
cfps_external_main,education,3.secondary school and above,6340,163,0.025709779179810724,0.026439352241760024,0.9724057890950534,0.02460144356689958,0.6734655872616704,0.07976399978313803,0.1475,0.03680981595092025,0.9961146187469645,0.2,0.9751188589540412,0.06217616580310881,0.9714511041009464,6153,24,157,6,
cfps_external_main,education,missing,272,31,0.11397058823529412,0.03274853147975761,3.4801740134741963,0.10434701408920008,0.8000267701780217,0.31191335854345537,0.1475,0.0,1.0,0.0,0.8860294117647058,0.0,0.8860294117647058,241,0,31,0,
charls_heldout,overall,overall,2731,343,0.12559502013914317,0.12833262615724045,0.9786678875039695,0.09208440679583284,0.8151959994335135,0.38515969098032815,0.1475,0.7521865889212828,0.7458123953098827,0.29826589595375724,0.9544480171489818,0.4271523178807947,0.7466129622848773,1781,607,85,258,
charls_heldout,age_fixed,45-59,1427,138,0.09670637701471618,0.10037502965327012,0.9634505449091599,0.07542362120327889,0.8209936924478025,0.31161985940227727,0.1475,0.6884057971014492,0.8013964313421257,0.2706552706552707,0.9600371747211895,0.3885480572597137,0.7904695164681149,1033,256,43,95,
charls_heldout,age_fixed,60-69,910,116,0.12747252747252746,0.1341441186985354,0.9502654958656733,0.09654884821009273,0.7992052462433772,0.33561754698748464,0.1475,0.7844827586206896,0.698992443324937,0.27575757575757576,0.9568965517241379,0.4080717488789238,0.7098901098901099,555,239,25,91,
charls_heldout,age_fixed,70+,394,89,0.22588832487309646,0.21616773275263973,1.044967821962494,0.14211562342933023,0.7791858537483883,0.522996419450258,0.1475,0.8089887640449438,0.6327868852459017,0.391304347826087,0.919047619047619,0.5274725274725275,0.6725888324873096,193,112,17,72,
charls_heldout,education,1.illiterate,942,263,0.2791932059447983,0.2899547864786589,0.9628853151053167,0.18755423023818665,0.6588670433482475,0.4360998792329748,0.1475,0.9657794676806084,0.13696612665684832,0.30238095238095236,0.9117647058823529,0.4605621033544878,0.36836518046709127,93,586,9,254,
charls_heldout,education,2.primary school,733,57,0.07776261937244201,0.06597019626177489,1.1787537976069358,0.07147794826291623,0.6341222879684419,0.11598328926794656,0.1475,0.07017543859649122,0.9718934911242604,0.17391304347826086,0.9253521126760563,0.1,0.9017735334242838,657,19,53,4,
charls_heldout,education,3.secondary school and above,1056,23,0.021780303030303032,0.027445870561217806,0.7935730434100179,0.021224520831751952,0.7113725325139947,0.05758394138512983,0.1475,0.0,0.9980638915779284,0.0,0.9781783681214421,0.0,0.9763257575757576,1031,2,23,0,
