Dataset,Subgroup,Level,N,"Events, n (%)",Mean predicted risk,Observed/expected ratio,AUROC (95% CI),AUPRC (95% CI),AUPRC prevalence baseline,AUPRC enrichment ratio,Brier score,ECE,Hosmer-Lemeshow p value,Calibration intercept (95% CI),Calibration slope (95% CI),Sensitivity,Specificity,PPV,NPV
CHARLS held-out validation,Overall,Overall,2731,343 (12.6%),0.128,0.979,0.815 (0.792-0.836),0.385 (0.335-0.441),0.126,3.067,0.092,0.009,0.3919,-0.060 (-0.260-0.140),0.979 (0.869-1.089),0.752,0.746,0.298,0.954
CHARLS held-out validation,Sex,Female,1276,231 (18.1%),0.168,1.079,0.799 (0.768-0.825),0.428 (0.368-0.494),0.181,2.363,0.123,0.021,0.1758,0.090 (-0.153-0.332),0.981 (0.829-1.134),0.853,0.655,0.353,0.953
CHARLS held-out validation,Sex,Male,1455,112 (7.7%),0.094,0.822,0.785 (0.742-0.826),0.294 (0.216-0.385),0.077,3.820,0.065,0.027,0.0205,-0.466 (-0.836--0.096),0.878 (0.708-1.047),0.545,0.817,0.199,0.956
CHARLS held-out validation,Age,45-59,1427,138 (9.7%),0.100,0.963,0.821 (0.786-0.854),0.312 (0.249-0.384),0.097,3.222,0.075,0.006,0.6867,-0.029 (-0.364-0.306),1.012 (0.843-1.181),0.688,0.801,0.271,0.960
CHARLS held-out validation,Age,>=60,1304,205 (15.7%),0.159,0.989,0.799 (0.767-0.828),0.429 (0.364-0.501),0.157,2.730,0.110,0.013,0.5186,-0.084 (-0.335-0.166),0.945 (0.796-1.095),0.795,0.681,0.317,0.947
CHARLS held-out validation,Education,Illiterate,942,263 (27.9%),0.290,0.963,0.659 (0.622-0.698),0.436 (0.380-0.502),0.279,1.562,0.188,0.019,0.6242,-0.074 (-0.331-0.182),0.979 (0.726-1.232),0.966,0.137,0.302,0.912
CHARLS held-out validation,Education,Primary school,733,57 (7.8%),0.066,1.179,0.634 (0.561-0.703),0.116 (0.084-0.177),0.078,1.492,0.071,0.014,0.2542,-0.438 (-1.788-0.911),0.759 (0.251-1.268),0.070,0.972,0.174,0.925
CHARLS held-out validation,Education,Secondary school and above,1056,23 (2.2%),0.027,0.794,0.711 (0.606-0.813),0.058 (0.030-0.137),0.022,2.644,0.021,0.007,0.6978,0.565 (-1.858-2.987),1.235 (0.531-1.940),0.000,0.998,0.000,0.978
CFPS external validation,Overall,Overall,12749,1118 (8.8%),0.089,0.983,0.795 (0.782-0.808),0.268 (0.247-0.292),0.088,3.050,0.071,0.008,0.0003,-0.205 (-0.326--0.084),0.900 (0.846-0.955),0.612,0.827,0.253,0.957
CFPS external validation,Sex,Female,5705,643 (11.3%),0.111,1.019,0.798 (0.782-0.815),0.308 (0.278-0.344),0.113,2.734,0.088,0.010,0.0017,-0.133 (-0.286-0.020),0.902 (0.826-0.977),0.692,0.772,0.278,0.952
CFPS external validation,Sex,Male,7044,475 (6.7%),0.072,0.938,0.774 (0.752-0.796),0.209 (0.181-0.243),0.067,3.100,0.058,0.010,0.0467,-0.350 (-0.550--0.149),0.870 (0.789-0.952),0.503,0.869,0.218,0.960
CFPS external validation,Age,45-59,8264,506 (6.1%),0.071,0.861,0.798 (0.777-0.818),0.220 (0.193-0.252),0.061,3.585,0.052,0.012,0.0006,-0.278 (-0.465--0.092),0.952 (0.873-1.031),0.579,0.865,0.218,0.969
CFPS external validation,Age,>=60,4485,612 (13.6%),0.122,1.114,0.757 (0.738-0.776),0.308 (0.278-0.343),0.136,2.255,0.107,0.026,0.0000,-0.215 (-0.376--0.053),0.779 (0.702-0.857),0.639,0.751,0.289,0.929
CFPS external validation,Education,Illiterate,2975,709 (23.8%),0.258,0.923,0.617 (0.592-0.639),0.322 (0.293-0.355),0.238,1.353,0.177,0.021,0.2245,-0.362 (-0.545--0.179),0.751 (0.591-0.910),0.937,0.145,0.255,0.880
CFPS external validation,Education,Primary school,3162,215 (6.8%),0.061,1.116,0.600 (0.559-0.641),0.116 (0.094-0.154),0.068,1.707,0.063,0.010,0.2678,-0.368 (-1.087-0.351),0.816 (0.553-1.080),0.065,0.982,0.206,0.935
CFPS external validation,Education,Secondary school and above,6340,163 (2.6%),0.026,0.972,0.673 (0.628-0.716),0.080 (0.056-0.121),0.026,3.102,0.025,0.001,0.2654,0.254 (-0.514-1.023),1.082 (0.863-1.301),0.037,0.996,0.200,0.975
